nickName,Duo,Pass Protection,Pull 2,Pull Across,Pull Front,Pull Outside Numbers,Split Zone,Zone
49ers,0.4476190476190475,1.0390243902439027,,0.5923076923076922,1.4666666666666663,0.41818181818181815,0.3333333333333334,0.4974468085106383
Bears,0.825,0.9807692307692306,,0.6569444444444444,,,0.7410256410256413,0.5428571428571428
Bengals,0.4333333333333334,0.6242424242424242,0.5384615384615384,0.9793650793650798,,1.6727272727272726,0.6837209302325581,0.5413953488372094
Bills,0.2476190476190476,0.9523809523809524,,0.5583333333333335,0.9058823529411764,0.15000000000000005,0.456,0.8858024691358025
Broncos,0.8450000000000001,0.9837837837837836,,0.5042553191489362,,,0.4857142857142856,0.4576470588235298
Browns,0.636,1.0166666666666666,,0.490625,,1.6181818181818182,0.8384615384615385,0.5768292682926829
Buccaneers,0.2454545454545455,0.7939393939393941,1.1583333333333334,0.3391304347826087,,1.3733333333333335,0.3875,0.5481081081081083
Cardinals,0.6388888888888888,1.0233333333333332,,0.5173913043478262,,,0.5792452830188679,0.5422885572139303
Chargers,0.3787878787878788,1.1242424242424247,,0.5893617021276595,,,0.5227272727272729,0.810267857142857
Chiefs,0.4171428571428573,1.2638297872340425,1.1631578947368422,0.7042553191489365,,0.5375000000000001,0.46888888888888897,0.5203592814371254
Colts,0.3866666666666668,0.7275862068965518,1.5833333333333337,0.7268292682926829,,0.34545454545454546,0.7933333333333332,0.5263157894736841
Cowboys,0.4428571428571429,0.9093749999999996,1.1352941176470586,0.6000000000000001,,,0.635,0.6627218934911246
Dolphins,0.8137931034482759,0.5933333333333334,,0.6823529411764707,,1.4333333333333331,0.8703703703703705,0.5845360824742272
Eagles,0.9565217391304348,1.0319999999999998,,0.5795454545454546,,,0.6266666666666667,0.5463636363636364
Falcons,0.5259999999999999,0.975,0.918181818181818,0.6509803921568627,,0.9714285714285716,0.6611111111111111,0.6337278106508879
Football Team,0.68125,1.1307692307692303,,0.6516129032258068,,0.4,0.8461538461538461,0.5323529411764705
Giants,0.6050000000000001,0.5947368421052632,1.0333333333333332,1.2075,0.8272727272727273,0.8083333333333332,0.525,0.4727272727272728
Jaguars,1.165625,1.5043478260869565,,0.4325000000000001,,,0.4576923076923077,0.7615023474178414
Jets,1.1827586206896554,0.9866666666666668,0.6124999999999999,0.8288461538461539,0.4666666666666667,1.3777777777777782,0.23214285714285715,0.7319526627218937
Lions,0.676923076923077,0.7166666666666667,,0.5942857142857142,,,0.5063829787234043,0.6953974895397492
Packers,0.34166666666666673,1.053061224489796,,0.5781818181818181,,,0.5813953488372092,0.5798780487804879
Panthers,0.8500000000000001,1.047826086956522,,0.3395348837209303,,0.4714285714285715,0.5794117647058823,0.5712195121951225
Patriots,0.4567567567567568,1.3714285714285717,,0.7076923076923076,,,0.652777777777778,0.4689473684210528
Raiders,0.9108108108108112,0.7757575757575759,0.13636363636363635,0.3,,0.6333333333333332,0.2648648648648649,0.6715053763440865
Rams,0.345,0.724390243902439,,0.7757575757575758,,,0.4065573770491804,0.7743718592964826
Ravens,0.6032258064516127,0.5538461538461539,,0.4388888888888889,,,0.7981481481481484,0.6500000000000002
Saints,0.3125000000000001,0.8225806451612903,0.3133333333333333,0.3918918918918918,,1.2571428571428571,0.4153846153846154,0.5165605095541405
Seahawks,0.4931034482758621,1.086666666666667,,0.4547169811320755,,,0.4303030303030303,0.551515151515152
Steelers,0.4545454545454546,1.104444444444444,0.3999999999999999,0.9912280701754388,,,0.21428571428571425,0.5470046082949308
Texans,0.7384615384615387,0.6791666666666666,0.4769230769230769,0.6589743589743592,0.7615384615384617,,1.1352941176470588,0.7051886792452831
Titans,0.23000000000000004,0.9317073170731712,,0.6111111111111112,,,0.4214285714285714,0.6506756756756763
Vikings,0.5214285714285715,1.0903225806451615,0.4157894736842106,0.7342105263157895,,,0.4622222222222223,0.6049773755656114
